,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
0,71680,-485625379345507683,485625379345507683,-485625379345507683,352500725444683011974386,1296.782692335492316484407723,1296.782692335492316484407723,1298.080058735680518557397396,1296.782692335492316484407723,1298.080058735680518557397396,0,6348198251062663682848.977838,0,6348.198251062663682848977838
1,71690,-6571432428179138118,6571432428179138118,-7057057807524645801,352494154012254832836268,1298.080058735680518557397396,1298.080058735680518557397396,1299.378723086239500133137616,1298.080058735680518557397396,1299.378723086239500133137616,0,6351254580723982567085.806468,0,6351.254580723982567085806468
2,71700,15624286434143341901132,17580016542751131389448,15617229376335817255331,368118440446398174737400,1299.378723086239500133137616,1299.378723086239500133137616,1300.678686685703865439286632,1299.378723086239500133137616,1300.678686685703865439286632,0,6636090684905861736732.696839,0,6636.090684905861736732696839
3,71710,98044446794816471598,98044446794816471598,15715273823130633726929,368216484893192991208998,1300.678686685703865439286632,1300.678686685703865439286632,1301.979950833907337804153679,1300.678686685703865439286632,1301.979950833907337804153679,0,6641177730278433063673.391416,0,6641.177730278433063673391416
4,71720,1074606660590134184479,1086408887614795683999,16789880483720767911408,369291091553783125393477,1301.979950833907337804153679,1301.979950833907337804153679,1303.282516831984059360559144,1301.979950833907337804153679,1303.282516831984059360559144,0,6663890355405627915746.050678,0,6663.890355405627915746050678
5,71730,-84800339906330535350957,84801919450192438342287,-68010459422609767439549,284490751647452590042520,1303.282516831984059360559144,1303.282516831984059360559144,1304.586385982369892049983622,1303.282516831984059360559144,1304.586385982369892049983622,0,5136228077729961042848.595231,0,5136.228077729961042848595231
6,71740,-33450501837526704393017,151272351477953350622541,-101460961260136471832566,251040249809925885649503,1304.586385982369892049983622,1304.586385982369892049983622,1305.891559588803719928306716,1304.586385982369892049983622,1305.891559588803719928306716,0,4534575557153743176807.050085,0,4534.575557153743176807050085
7,71750,102032772476027490421609,102032772476027490421609,571811215891018589043,353073022285953376071112,1305.891559588803719928306716,1305.891559588803719928306716,1307.198038956328752774437785,1305.891559588803719928306716,1307.198038956328752774437785,0,6380797406906352297961.184241,0,6380.797406906352297961184241
8,71760,8850053043008331955914,8851632586870234947244,9421864258899350544957,361923075328961708027026,1307.198038956328752774437785,1307.198038956328752774437785,1308.505825391293831003142090,1307.198038956328752774437785,1308.505825391293831003142090,0,6544008135961422023211.434802,0,6544.008135961422023211434802
9,71770,119729811828245681825,257029697609638670613,9541594070727596226782,362042805140789953708851,1308.505825391293831003142090,1308.505825391293831003142090,1309.814920201354731883367142,1308.505825391293831003142090,1309.814920201354731883367142,0,6549446737346358385335.688888,0,6549.446737346358385335688888
