,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
464,-64260,48894822422105882692447,49672263454762549570945,134842356835256268385917,135338114941271351050143,0.001619433760459593305756326321,0.001619433760459593305756326321,0.001629179082495992068204680194,0.001619433760459593305756326321,0.001629179082495992068204680194,0,16362619465689482803.79001420,0,16.3626194656894828037900142
465,-64200,6813523445003291634729,6839108363514127658363,141655880280259560020646,142151638386274642684872,0.001629179082495992068204680194,0.001629179082495992068204680194,0.001638983049290769936312704623,0.001629179082495992068204680194,0.001638983049290769936312704623,5988543348769913429632.036841,7468910820478863097.816749034,5988.543348769913429632036841,7.468910820478863097816749034
466,-64140,4714854722384777965651,11424146282165949074625,146370735002644337986297,146866493108659420650523,0.001638983049290769936312704623,0.001638983049290769936312704623,0.001648846013752499094585764788,0.001638983049290769936312704623,0.001648846013752499094585764788,10866352479712811908695.39275,0,10866.35247971281190869539275,0
467,-64080,12772150877776102557728,13539833701200866274980,159142885880420440544025,159638643986435523208251,0.001648846013752499094585764788,0.001648846013752499094585764788,0.001658768330913461736123612946,0.001648846013752499094585764788,0.001658768330913461736123612946,11775958741290917136511.63327,0,11775.95874129091713651163327,0
468,-64020,5759220669794121902471,7202852503918831150955,164902106550214562446496,165397864656229645110722,0.001658768330913461736123612946,0.001658768330913461736123612946,0.001668750357942429985116138990,0.001658768330913461736123612946,0.001668750357942429985116138990,12164249667530965848445.20688,0,12164.24966753096584844520688,0
469,-63960,7311546318469589639285,8858879977779933816919,172213652868684152085781,172709410974699234750007,0.001668750357942429985116138990,0.001668750357942429985116138990,0.001678792454157522725516676534,0.001668750357942429985116138990,0.001678792454157522725516676534,12663933218720293930980.75684,0,12663.93321872029393098075684,0
470,-63900,6589517275780572736955,6795580842600365220507,178803170144464724822736,179298928250479807486962,0.001678792454157522725516676534,0.001678792454157522725516676534,0.001688894981039139798693804671,0.001678792454157522725516676534,0.001688894981039139798693804671,13107729908812136650181.50253,0,13107.72990881213665018150253,0
471,-63840,14838518607930784649431,16532437387836707340443,193641688752395509472167,194137446858410592136393,0.001688894981039139798693804671,0.001688894981039139798693804671,0.001699058302242974035647598650,0.001688894981039139798693804671,0.001699058302242974035647598650,14149994982990987803133.38103,0,14149.99498299098780313338103,0
472,-63780,6684275592799536232546,13447026288513246605512,200325964345195045704713,200821722451210128368939,0.001699058302242974035647598650,0.001699058302242974035647598650,0.001709282783613101592178055246,0.001699058302242974035647598650,0.001709282783613101592178055246,14593344722467507943420.49735,0,14593.34472246750794342049735,0
473,-63720,1005915388466381951411,4374600525877531825137,201331879733661427656124,201827637839676510320350,0.001709282783613101592178055246,0.001709282783613101592178055246,0.001719568793195151058212051479,0.001709282783613101592178055246,0.001719568793195151058212051479,14622511539229184346459.24334,0,14622.51153922918434645924334,0
474,-63660,-33320283929967416071618,37288326978888664883972,168011595803694011584506,168507353909709094248732,0.001719568793195151058212051479,0.001719568793195151058212051479,0.001729916701249551815330789992,0.001719568793195151058212051479,0.001729916701249551815330789992,12171871981934297213944.18316,0,12171.87198193429721394418316,0
475,-63600,1328048999747456368490,1577351368781639862370,169339644803441467952996,169835402909456550617222,0.001729916701249551815330789992,0.001729916701249551815330789992,0.001740326880264862119392342887,0.001729916701249551815330789992,0.001740326880264862119392342887,12231055157839892971484.62390,0,12231.0551578398929714846239,0
476,-63540,-499311474641717973375,4323733939447798222297,168840333328799749979621,169336091434814832643847,0.001740326880264862119392342887,0.001740326880264862119392342887,0.001750799704971177388013730880,0.001740326880264862119392342887,0.001750799704971177388013730880,12158567545864855330429.44651,0,12158.56754586485533042944651,0
477,-63480,55283995832373179154,6576157048373817837208,168895617324632123158775,169391375430647205823001,0.001750799704971177388013730880,0.001750799704971177388013730880,0.001761335552353619175564069536,0.001750799704971177388013730880,0.001761335552353619175564069536,12126105898351802636682.50406,0,12126.10589835180263668250406,0
478,-63420,-137839263728848648354,4317197684251741107886,168757778060903274510421,169253536166918357174647,0.001761335552353619175564069536,0.001761335552353619175564069536,0.001771934801665905321224782989,0.001761335552353619175564069536,0.001771934801665905321224782989,12079946057132771585916.37397,0,12079.94605713277158591637397,0
479,-63360,930151234419622770233,1406744931114856000063,169687929295322897280654,170183687401337979944880,0.001771934801665905321224782989,0.001771934801665905321224782989,0.001782597834444001758594832543,0.001771934801665905321224782989,0.001782597834444001758594832543,12109950137921435104386.10854,0,12109.95013792143510438610854,0
480,-63300,-10527866567989533493243,13175083754426283589741,159160062727333363787411,159655820833348446451637,0.001782597834444001758594832543,0.001782597834444001758594832543,0.001793325034519856478258438043,0.001782597834444001758594832543,0.001793325034519856478258438043,11326777364543759003947.22496,0,11326.77736454375900394722496,0
481,-63240,-3469727411430549339736,9427290142087491062542,155690335315902814447675,156186093421917897111901,0.001793325034519856478258438043,0.001793325034519856478258438043,0.001804116788035216137689989686,0.001793325034519856478258438043,0.001804116788035216137689989686,11047427275604353154686.46380,0,11047.4272756043531546864638,0
482,-63180,-4352678419116976624367,8601254877267212369291,151337656896785837823308,151833415002800920487534,0.001804116788035216137689989686,0.001804116788035216137689989686,0.001814973483455525815845863515,0.001804116788035216137689989686,0.001814973483455525815845863515,10707382835633514654088.48856,0,10707.38283563351465408848856,0
483,-63120,-3965829254201588481513,5241750633239549849273,147371827642584249341795,147867585748599332006021,0.001814973483455525815845863515,0.001814973483455525815845863515,0.001825895511583912412785772237,0.001814973483455525815845863515,0.001825895511583912412785772237,10396475501751100298063.46033,0,10396.47550175110029806346033,0
484,-63060,-161231958847415950371,2885454947854613769279,147210595683736833391424,147706353789751916055650,0.001825895511583912412785772237,0.001825895511583912412785772237,0.001836883265575252197677212033,0.001825895511583912412785772237,0.001836883265575252197677212033,10354032206986607573793.06193,0,10354.03220698660757379306193,0
485,-63000,-2982479187337098570538,7734947837136070266524,144228116496399734820886,144723874602414817485112,0.001836883265575252197677212033,0.001836883265575252197677212033,0.001847937140950323011565613964,0.001836883265575252197677212033,0.001847937140950323011565613964,10114576346452273010372.35307,0,10114.57634645227301037235307,0
