Indicator,Value
max_draw_down,0.06
annualized_returns,-0.31
benchmark_returns,-0.19
net_value,1.0
profit,-4.99
net_value_up_down_rate,-0.0
quote_up_down_rate,-0.01
position_fee_profit,0.63
position_fee_annualized_returns,0.75
position_market_time_rate,0.49
sharpe_ratio,-0.81
sortino_ratio,-0.67
volatility,0.36
correlation_with_quote_price,1.0
