Indicator,Value
max_draw_down,0.05
annualized_returns,-0.21
benchmark_returns,-0.19
net_value,1.0
profit,-3.19
net_value_up_down_rate,-0.0
quote_up_down_rate,-0.01
position_fee_profit,0.0
position_fee_annualized_returns,0.0
position_market_time_rate,0.0
sharpe_ratio,-0.46
sortino_ratio,-0.39
volatility,0.36
correlation_with_quote_price,1.0
