Indicator,Value
max_draw_down,0.05
annualized_returns,0.12
benchmark_returns,-0.19
net_value,1.0
profit,1.57
net_value_up_down_rate,0.0
quote_up_down_rate,-0.01
position_fee_profit,4.79
position_fee_annualized_returns,6.54
position_market_time_rate,1.0
sharpe_ratio,0.52
sortino_ratio,0.32
volatility,0.35
correlation_with_quote_price,1.0
