Indicator,Value
max_draw_down,0.05
annualized_returns,-0.3
benchmark_returns,-0.19
net_value,1.0
profit,-4.78
net_value_up_down_rate,-0.0
quote_up_down_rate,-0.01
position_fee_profit,8.81
position_fee_annualized_returns,11.57
position_market_time_rate,0.86
sharpe_ratio,-0.83
sortino_ratio,-0.69
volatility,0.34
correlation_with_quote_price,0.98
