Indicator,Value
max_draw_down,0.06
annualized_returns,-0.07
benchmark_returns,-0.19
net_value,1.0
profit,-1.0
net_value_up_down_rate,-0.0
quote_up_down_rate,-0.01
position_fee_profit,4.06
position_fee_annualized_returns,5.54
position_market_time_rate,1.0
sharpe_ratio,0.0
sortino_ratio,0.0
volatility,0.37
correlation_with_quote_price,1.0
